漢字,訓読み
軼,う（せる）
馭,おさ（める）
馭,す（べる）
赧,あから（める）
欹,かたむ（ける）
欹,そばだ（てる）
鈔,かす（める）
絎,く（ける）
訶,せ（める）
詆,はずかし（める）
痞,つか（える）
竢,まちう（ける）
竦,おそ（れる）
竦,そび（える）
舒,の（べる）
觝,ふ（れる）
翕,あつ（める）
窘,たしな（める）
孶,つと（める）
僂,かが（める）
僂,ま（げる）
飭,いまし（める）
飭,ととの（える）
勠,あわ（せる）
嗄,か（れる）
嗄,しゃが（れる）
嗄,しわが（れる）
惷,みだ（れる）
愍,うれ（える）
搆,かま（える）
搦,から（める）
黽,つと（める）
暈,ぼ（ける）
腴,こ（える）
跟,つ（ける）
溷,みだ（れる）
歇,か（れる）
歇,や（める）
肆,つら（ねる）
肆,なら（べる）
雋,すぐ（れる）
煢,うれ（える）
煖,あたた（める）
煦,あたた（める）
詬,はずかし（める）
誅,せ（める）
誂,あつら（える）
詼,おど（ける）
詼,たわむ（れる）
裨,たす（ける）
躱,さ（ける）
猾,みだ（れる）
頌,たた（える）
頌,ほ（める）
痿,しび（れる）
痿,な（える）
痺,しび（れる）
痲,しび（れる）
瘁,つか（れる）
瘁,やつ（れる）
辟,さ（ける）
遏,とど（める）
遏,と（める）
遑,あわ（てる）
逾,こ（える）
稟,う（ける）
禀,う（ける）
罩,こ（める）
痹,しび（れる）
搤,おさ（える）
僥,もと（める）
僣,なぞら（える）
兢,おそ（れる）
嗾,けしか（ける）
嫗,あたた（める）
寤,さ（める）
愬,うった（える）
愬,おそ（れる）
慂,すす（める）
慴,おそ（れる）
搴,かか（げる）
摶,まる（める）
暝,く（れる）
槁,か（れる）
榜,かか（げる）
漓,なが（れる）
瑰,すぐ（れる）
髦,すぐ（れる）
銜,くわ（える）
綸,おさ（める）
綰,たが（ねる）
綰,す（べる）
綰,わが（ねる）
犖,すぐ（れる）
酳,すす（める）
聚,あつ（める）
甄,みわ（ける）
熄,き（える）
熏,くす（べる）
熏,ふす（べる）
誨,おし（える）
誡,いまし（める）
誦,とな（える）
誚,せ（める）
誥,つ（げる）
瘉,い（える）
竭,か（れる）
趙,こ（える）
僵,たお（れる）
儁,すぐ（れる）
噎,む（せる）
慫,すす（める）
憔,やつ（れる）
憫,うれ（える）
戮,あわ（せる）
戮,はずかし（める）
撓,いた（める）
撓,くじ（ける）
撓,た（める）
撓,たわ（める）
撓,みだ（れる）
撥,おさ（める）
撥,かか（げる）
撥,は（ねる）
撕,いまし（める）
撩,おさ（める）
撩,みだ（れる）
樊,みだ（れる）
輟,とど（める）
輟,や（める）
駛,は（せる）
箴,いまし（める）
銷,き（える）
