漢字,訓読み
潔,"いさぎよ（い）,きよ（い）"
衛,まも（る）
輸,"いた（す）,うつ（す）,おく（る）,ま（ける）"
築,"きず（く）,つ（く）"
燃,"も（える）,も（す）,も（やす）"
興,"おこ（す）,おこ（る）"
績,"う（む）,つむ（ぐ）"
謝,"あやま（る）,ことわ（る）,さ（る）"
講,
額,ぬか（ずく）
職,"つかさど（る）,つと（め）"
織,お（る）
識,"し（る）,しる（す）"
護,"まも（り）,まも（る）"
亡,"な（い）,うしな（う）,に（げる）,ほろ（びる）,ほろ（ぼす）"
寸,わず（か）
干,"ほ（す）,ひ（る）,おか（す）,かか（わる）,もと（める）"
己,
収,"おさ（まる）,おさ（める）"
尺,わず（か）
仁,
片,
処,"お（く）,お（る）"
冊,た（てる）
穴,
庁,
幼,"おさな（い）,いとけな（い）"
吸,す（う）
危,"あぶ（ない）,あや（うい）,あや（ぶむ）,あや（める）,たか（い）"
舌,
至,いた（る）
宅,
后,
灰,
机,
存,"あ（る）,たも（つ）,と（う）,ながら（える）"
宇,
卵,
否,わる（い）
私,ひそ（か）
乱,"みだ（す）,みだ（れる）,みだ（りに）"
忘,わす（れる）
困,"こま（る）,くる（しむ）"
批,"う（つ）,ただ（す）"
系,つな（ぐ）
孝,
我,
宙,
呼,よ（ぶ）
拝,おが（む）
若,"わか（い）,も（しくは）,ごと（し）,し（く）,も（し）"
乳,
忠,
担,"かつ（ぐ）,にな（う）"
並,"なら（びに）,なら（ぶ）,なら（べる）"
宝,
垂,"た（らす）,た（れる）,しだ（れる）,なんなん（とする）"
届,"とど（く）,とど（ける）"
枚,
宗,
刻,きざ（む）
延,"の（ばす）,の（びる）,の（べる）,は（え）,ひ（く）"
拡,"ひろ（がる）,ひろ（げる）"
沿,そ（う）
承,"うけたまわ（る）,う（ける）"
券,
供,そな（える）
派,"つか（わす）,わ（かれる）"
背,"そむ（く）,そむ（ける）"
映,"うつ（す）,うつ（る）,は（える）,は（やす）"
革,"あらた（まる）,あらた（める）"
段,
看,み（る）
姿,
肺,
巻,ま（く）
退,"しりぞ（く）,しりぞ（ける）,しさ（る）,すさ（る）,の（く）,の（ける）,ひ（く）"
砂,
宣,"のたま（う）,の（べる）"
専,もっぱ（ら）
律,のっと（る）
泉,
胃,
洗,あら（う）
奏,"かな（でる）,すす（める）"
染,"そ（まる）,そ（める）,し（み）,し（みる）"
皇,
紅,あか（い）
党,
従,"したが（う）,したが（える）"
展,"つら（ねる）,の（べる）,ひろ（げる）"
純,
値,あ（う）
除,"のぞ（く）,つ（きる）,の（ける）,はら（う）,よ（ける）"
将,"ひき（いる）,まさ（に）"
骨,
株,
討,"う（つ）,たず（ねる）"
秘,"ひ（める）,かく（す）,ひそ（か）"
座,"すわ（る）,いま（す）"
陛,
俵,
恩,めぐ（み）
班,"かえ（す）,わ（ける）"
俳,たわむ（れ）
胸,
蚕,
射,"い（る）,あ（てる）,う（つ）,さ（す）"
朗,"ほが（らか）,あき（らか）,たか（らか）"
納,"おさ（まる）,おさ（める）,い（れる）"
降,"お（りる）,お（ろす）,ふ（る）,くだ（す）,くだ（る）"
針,
異,あや（しい）
翌,
域,
欲,"ほ（しい）,ほっ（する）"
訪,"たず（ねる）,おとず（れる）,おとな（う）,と（う）"
訳,と（く）
密,"こま（かい）,ひそ（かに）"
郵,
閉,"し（まる）,し（める）,と（じる）,と（ざす）,た（てる）"
探,"さが（す）,さぐ（る）"
著,"あらわ（す）,いちじる（しい）,き（る）,つ（く）"
頂,いただ（く）
脳,
窓,
盛,"も（る）,さか（る）,さか（ん）"
捨,"す（てる）,ほどこ（す）"
視,み（る）
済,"す（ます）,す（む）,すく（う）,な（す）,わた（す）,わた（る）"
推,お（す）
郷,
裁,"さば（く）,た（つ）"
策,
痛,"いた（い）,いた（む）,いた（める）,いた（わしい）,や（める）"
晩,"おそ（い）,く（れ）"
筋,
善,よ（い）
詞,
就,"つ（く）,つ（ける）,な（す）,な（る）"
衆,おお（い）
勤,"つと（まる）,つと（める）,いそ（しむ）,つと（め）"
補,"おぎな（う）,たす（ける）"
割,"わ（る）,わ（れる）,さ（く）"
装,"よそお（う）,よそ（う）"
貴,"たっと（い）,たっと（ぶ）,とうと（い）,とうと（ぶ）,たか（い）"
揮,ふる（う）
尊,"たっと（い）,たっと（ぶ）,とうと（い）,とうと（ぶ）"
棒,
敬,"うやま（う）,つつし（む）"
創,"つく（る）,はじ（める）"
裏,
腹,
預,"あず（かる）,あず（ける）,あらかじ（め）"
腸,
絹,
幕,
盟,ちか（う）
源,
暖,"あたた（か）,あたた（かい）,あたた（まる）,あたた（める）"
署,しる（す）
誠,
傷,"いた（む）,いた（める）,そこ（なう）"
蒸,"む（す）,む（らす）,む（れる）,おお（い）,ふ（かす）,ふ（ける）"
賃,やと（う）
聖,
磁,
閣,
障,"さわ（る）,ふせ（ぐ）,へだ（てる）"
暮,"く（らす）,く（れる）"
